start,title,company,location,posted_time,employment_type,work_setup,career_level,experience_years,tags,link
3,Sales Design Engineer|Kitchen - Saudi Arabia,Alkhaleejion Kitchen,"Cairo,Egypt",1 hour ago,Full Time,On-site,Experienced,1 - 4 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Creative/Design/Art, Sales/Retail, Kitchen Design, Sales Engineering, AutoCAD, 3D Rendering, Project Management, Client Relationship Management, Technical Drawing",https://wuzzuf.net/jobs/p/dbge2rra5wsw-sales-design-engineerkitchen-saudi-arabia-alkhaleejion-kitchen-cairo-egypt
3,Global Mobility & Investment Sales Consultant,Global Citizen Consulants,"Nasr City,Cairo,Egypt",2 hours ago,Full Time,On-site,Experienced,2 - 7 Yrs of Exp,"Business Development, Customer Service/Support, Sales/Retail, Sales, Sales Consultant, Business Development, Real Estate Sales, Property Consultant, Visa Consultant, Immigration, Travel Consultant, High Ticket Sales, Closing Deals, Negotiation Skills, Customer Relationship Management (CRM), Lead Management, Upsellin, Sales, Visa Consultant, Immigration, Travel Consultant, Closing Deals, Customer Relationship Management (CRM)",https://wuzzuf.net/jobs/p/wff4v1nhgnrl-global-mobility-investment-sales-consultant-global-citizen-consulants-cairo-egypt
9,Maintenance Engineer - Mobiles,Raya Distribution,"Aswan,Aswan,Egypt",22 hours ago,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,"Installation/Maintenance/Repair, IT/Software Development, Hardware repair, Problem-solving, Time management, Customer service, Presentation, repairs, Maintanance, Team Leadership",https://wuzzuf.net/jobs/p/i8hyqxmuicek-maintenance-engineer-mobiles-raya-distribution-aswan-egypt
10,Electrical BIM Technical Office Engineer,Protection,"Sheikh Zayed,Giza,Egypt",23 hours ago,Full Time,On-site,Experienced,3 - 8 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Engineering - Mechanical/Electrical, BIM, Revit, Drawing, Construction, Electrical Engineering, Technical Office, Electrical, AutoCAD",https://wuzzuf.net/jobs/p/cfiefkz3tika-electrical-bim-technical-office-engineer-protection-giza-egypt
12,Key Management Data Preparation Specialist,Efada Technology,"New Cairo,Cairo,Egypt",1 day ago,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,"IT/Software Development, Quality, PCI-DSS, EMV, Management, Customer Support, TWCF, CMS, HSM, Microsoft Office",https://wuzzuf.net/jobs/p/tlogzlpe6t5h-key-management-data-preparation-specialist-efada-technology-cairo-egypt
19,Retail Performance Analyst (Fashion Retail),Dockland Clothing Company,"Cairo,Egypt",2 days ago,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,"Analyst/Research, Sales/Retail, Fashion, Analysis, Data Analysis, Fashion, Fashion Retail, Microsoft Excel, Planning, Retail",https://wuzzuf.net/jobs/p/7soqc4iudasl-retail-performance-analyst-fashion-retail-dockland-clothing-company-cairo-egypt
19,Sales Operations Analyst,The Address Investments for Real Estate Consultancy,"New Cairo,Cairo,Egypt",2 days ago,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"Operations/Management, Analyst/Research, Sales/Retail, Sales Operations, Sales, Analysis, System Administration, Marketing, CRM, Real Estate",https://wuzzuf.net/jobs/p/sryjgwe6rblp-sales-operations-analyst-the-address-investments-for-real-estate-consultancy-cairo-egypt
21,French Bilingual Back Office Agent - Maadi,Intouch CX,"Cairo,Egypt",2 days ago,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Customer Service/Support, Customer Service, Customer Support",https://wuzzuf.net/jobs/p/iv6ruewj0dwp-french-bilingual-back-office-agent-maadi-intouch-cx-cairo-egypt
26,Telesales Agent Arabic Account - Fixed Shift,Etisalat Egypt,"Maadi,Cairo,Egypt",2 days ago,Full Time,On-site,Entry Level,0 - 3 Yrs of Exp,"Sales/Retail, Customer Service, Sales, sales skills, Telesales, Call Center, Customer Care, Customer Support, Communication",https://wuzzuf.net/jobs/p/8edzhxqjez8f-telesales-agent-arabic-account-fixed-shift-etisalat-egypt-cairo-egypt
29,Senior Electrical BIM Design Engineer,ADCArchitecture&Design Consultants,"Sheikh Zayed,Giza,Egypt",3 days ago,Full Time,On-site,Manager,2 - 5 Yrs of Exp,"Engineering - Mechanical/Electrical, Design, design engineer, Electrical, Electrical Engineering, Electrical Design, electrical design engineer, Engineering, BIM, Communication",https://wuzzuf.net/jobs/p/gxng9ciimgcp-senior-electrical-bim-design-engineer-adc-architecturedesign-consultants-giza-egypt
29,Business Intelligence Engineer,RISEUP (Endemag for Administrative Skills Development),"Maadi,Cairo,Egypt",3 days ago,Full Time,Hybrid,Experienced,4 - 7 Yrs of Exp,"IT/Software Development, Engineering - Telecom/Technology, Business Intelligence, Computer Science, Information Technology (IT), Engineering, Management, Python, SQL",https://wuzzuf.net/jobs/p/qrgxmsd0l1ws-business-intelligence-engineer-riseup-endemag-for-administrative-skills-development-cairo-egypt
29,Software Business Analyst,Ibn Sina Pharma,"New Cairo,Cairo,Egypt",3 days ago,Internship,Hybrid,Entry Level,,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Analysis, Business Administration, Business Analysis, Computer Science, Data Analysis, Engineering, Information Technology (IT)",https://wuzzuf.net/internship/kdypto1qhk9q-software-business-analyst-ibn-sina-pharma-cairo-egypt
31,Business Intelligence Head,Confidential,"New Cairo,Cairo,Egypt",3 days ago,Full Time,On-site,Manager,8 - 12 Yrs of Exp,"IT/Software Development, Analyst/Research, Business Intelligence, Business Administration, Computer Science, Data Analytics, Business Informatics, Reporting, Information Technology (IT), Engineering",https://wuzzuf.net/jobs/p/nwhhqxkny5o2-business-intelligence-head-cairo-egypt
33,Data Entry,PICO,"Mohandessin,Giza,Egypt",3 days ago,Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,"Administration, Data Entry, Oracle JD Edwards",https://wuzzuf.net/jobs/p/jfgiglaqmpiu-data-entry-pico-giza-egypt
38,BIM Developer,ADCArchitecture&Design Consultants,"Sheikh Zayed,Giza,Egypt",6 days ago,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Revit, Dynamo, Python, C#, BIM, Architecture",https://wuzzuf.net/jobs/p/yrirh2iz7wiw-bim-developer-adc-architecturedesign-consultants-giza-egypt
38,BIM Manager,ADCArchitecture&Design Consultants,"Sheikh Zayed,Giza,Egypt",6 days ago,Full Time,On-site,Manager,5 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Project/Program Management, Architecture, BIM, Engineering, Project Management, Revit",https://wuzzuf.net/jobs/p/exqnngizal6j-bim-manager-adc-architecturedesign-consultants-giza-egypt
40,Cabin Crew,Nile Air,"Heliopolis,Cairo,Egypt",6 days ago,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Tourism/Travel, Cabin crew, Customer Care, Customer Service",https://wuzzuf.net/jobs/p/ghdw64bv9s1i-cabin-crew-nile-air-cairo-egypt
41,System Analyst Lead,Link Development,"Maadi,Cairo,Egypt",6 days ago,Full Time,Hybrid,Manager,5 - 10 Yrs of Exp,"IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Analysis, Computer Science, Information Technology (IT), System Analysis",https://wuzzuf.net/jobs/p/1k6sqiaeh1ms-system-analyst-lead-link-development-cairo-egypt
41,Middle Data Scientist,Vertex Technologies,"Cairo,Egypt",6 days ago,Full Time,On-site,Experienced,2+ Yrs of Exp,"IT/Software Development, Data Analysis, Machine Learning, Statistical Modeling, Data Visualization, Big Data Technologies, Problem Solving, Communication, LLM orchestration tools, Databases",https://wuzzuf.net/jobs/p/ytubatrtqqp2-middle-data-scientist-vertex-technologies-cairo-egypt
42,Senior Data Scientist,Vertex Technologies,"Cairo,Egypt",6 days ago,Full Time,On-site,Experienced,5+ Yrs of Exp,"IT/Software Development, English B2, Machine Learning, Statistical Analysis, Python, gradient boosting algorithms, LLM, Generative AI technologies, Big Data Technologies",https://wuzzuf.net/jobs/p/8zkocqwyusni-senior-data-scientist-vertex-technologies-cairo-egypt
49,Data Entry Clerk,Egytrans,"Alexandria,Egypt",7 days ago,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Logistics/Supply Chain, Data Entry, Microsoft Office, attention to detail, Basic computer skills, Reporting, Time Management",https://wuzzuf.net/jobs/p/kogywtf4ocss-data-entry-clerk-egytrans-alexandria-egypt
51,"Sales Engineer Cairo , Giza,Sharqia , Qalyubiyyan,BaniSweif",Target For Medical Equipment,"Cairo,Egypt",7 days ago,Full Time,On-site,Experienced,2+ Yrs of Exp,"Sales/Retail, Sales, Engineering, Sales Target, Biomedical Engineering, sales cairo, sales Giza, Sales qalyybia, Medical Devices Sales, medical rep",https://wuzzuf.net/jobs/p/0oeibeo98dzu-sales-engineer-cairo-gizasharqia-qalyubiyyanbanisweif-target-for-medical-equipment-cairo-egypt
